"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
253,3,"turk16-shape","k-3-sdline-0.45-sdgroup-0.35","line-0.64354-cluster-0.86861","8, 5","db46720f79870ce79289ce100cfc6dea.svg","turk16",192,"set-26-k-3-sdline-0.45-sdgroup-0.35",0
254,3,"turk16-colorShape","k-3-sdline-0.45-sdgroup-0.35","line-0.64354-cluster-0.86861","8, 5","9333e57d365de77ae6f23e8fdf1ab786.svg","turk16",193,"set-26-k-3-sdline-0.45-sdgroup-0.35",0
255,3,"turk16-colorEllipse","k-3-sdline-0.45-sdgroup-0.35","line-0.64354-cluster-0.86861","8, 5","80f8954fa7618260e10b2eccbf7067c7.svg","turk16",194,"set-26-k-3-sdline-0.45-sdgroup-0.35",0
256,3,"turk16-colorShapeEllipse","k-3-sdline-0.45-sdgroup-0.35","line-0.64354-cluster-0.86861","8, 5","a1ec6c575338c4600a57e92bd6bd4bdc.svg","turk16",195,"set-26-k-3-sdline-0.45-sdgroup-0.35",0
257,3,"turk16-trend","k-3-sdline-0.45-sdgroup-0.35","line-0.64354-cluster-0.86861","8, 5","d0831db55455ee76533b1ed8b816ace4.svg","turk16",196,"set-26-k-3-sdline-0.45-sdgroup-0.35",0
258,3,"turk16-trendError","k-3-sdline-0.45-sdgroup-0.35","line-0.64354-cluster-0.86861","8, 5","c11585d766e5d11bc78ed032ab02dc57.svg","turk16",197,"set-26-k-3-sdline-0.45-sdgroup-0.35",0
259,3,"turk16-colorTrend","k-3-sdline-0.45-sdgroup-0.35","line-0.64354-cluster-0.86861","8, 5","4bb20f98ef19168c55f86a8912c4e61f.svg","turk16",198,"set-26-k-3-sdline-0.45-sdgroup-0.35",0
260,3,"turk16-colorEllipseTrendError","k-3-sdline-0.45-sdgroup-0.35","line-0.64354-cluster-0.86861","8, 5","33754402675eca6314b1f6709ef422d6.svg","turk16",199,"set-26-k-3-sdline-0.45-sdgroup-0.35",0
261,3,"turk16-plain","k-3-sdline-0.45-sdgroup-0.35","line-0.65815-cluster-0.85933","9, 2","8eec712d686f6f0ccd5a6215b7a0a63e.svg","turk16",190,"set-27-k-3-sdline-0.45-sdgroup-0.35",0
262,3,"turk16-color","k-3-sdline-0.45-sdgroup-0.35","line-0.65815-cluster-0.85933","9, 2","2612ca74fc87be5ccc6dde85bcc03243.svg","turk16",191,"set-27-k-3-sdline-0.45-sdgroup-0.35",0
